isbn;title_ol;title_az;reading_age;grade;cover_url
0385734107;A Field Guide to High School;Marissa Walsh;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/51tusbG9cFL.jpg
1491504730;Girl on a Wire;Gwenda Bond;12 - 17 years;7 - 12;https://m.media-amazon.com/images/I/71dJvE3521L.jpg
1492635790;Unnatural Deeds;Cyn Balog;14 - 17 years;8 - 12;https://m.media-amazon.com/images/I/A1a7DpjPtsL.jpg
1416975527;Alice in Charge;Phyllis Reynolds Naylor;14 years and up;9 and up;https://m.media-amazon.com/images/I/71X5-IoeWqL.jpg
0545470552;The Bar Code Rebellion;Suzanne Weyn;12 years and up;7 - 9;https://m.media-amazon.com/images/I/41ZQnHH+VXL.jpg
1416998276;Crash into Me;Albert Borris;14 years and up;9 - 12;https://m.media-amazon.com/images/I/81OLSNifSKL.jpg
0545470544;The Bar Code Tattoo;Suzanne Weyn;10+ years;7 - 9;https://m.media-amazon.com/images/I/512dp-maYRL.jpg
0763669571;The Name of the Blade;Zoe Marriott;12 - 17 years;7 - 9;https://m.media-amazon.com/images/I/81MKPVRxBoL.jpg
055353419X;Watched;Marina Budhos;12 - 17 years;7 - 9;https://m.media-amazon.com/images/I/51S6yOhKPrL.jpg
0553534181;Watched;Marina Budhos;12 years and up;7 - 9;https://m.media-amazon.com/images/I/A1-V-0EVAYL.jpg
0547194897;Flash Burnout;L. K. Madigan;14 years and up;9 - 12;https://m.media-amazon.com/images/I/51XFrBgV4ML.jpg
0553396935;My True Love Gave to Me: Twelve Holiday Stories;Stephanie Perkins;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/515DuSkdKxL.jpg
0316603406;Cirque du Freak : A Living Nightmare;Darren Shan;9+ years;7 and up;https://m.media-amazon.com/images/I/51xTCuNkHqL.jpg
1585364223;Bambi's First Day;Felix Salten;3 - 6 years;1 - 4;https://m.media-amazon.com/images/I/91w+W1CdcqS.jpg
1595148361;Scarlett Epstein Hates It Here;Anna Breslaw;12 years and up;7 - 12;https://m.media-amazon.com/images/I/91sjqD4UD7L.jpg
0316013080;Haters;Alisa Valdes-Rodriguez;15 years and up;10 and up;https://m.media-amazon.com/images/I/51FEaruNobL.jpg
1407115502;Blood Sinister;Celia Rees;12 years and up;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/41341-AqUiL.jpg
0739379623;"Suddenly Supernatural Books 1 and 2: Book 1: School Spirit; Book 2: Scaredy Kat";Elizabeth Cody Kimmel;8 - 12 years;3 - 7;https://m.media-amazon.com/images/I/51YjgMvJD+L.jpg
0449145301;No Experience Required:;Girls Only;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/61dDpK6RMQL.jpg
0738736422;15 Days Without a Head;Dave Cousins;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/51+0ynezv6L.jpg
1471117553;Breathe;Abbi Glines;16 years and up;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/71WEdMpwu7L.jpg
068980444X;Come a Stranger;Cynthia Voigt;12 years and up;7 - 9;https://m.media-amazon.com/images/I/61sUZWnblRL.jpg
0399256180;Ranger's Apprentice: The Lost Stories;John Flanagan;10+ years;5 - 6;https://m.media-amazon.com/images/I/A1JVoEgFoPL.jpg
0374323046;What Erika Wants;Bruce Clements;12 - 15 years;7 - 9;https://m.media-amazon.com/images/I/51YMBXmfUoL.jpg
0060217634;Fell Down;M. E. Kerr;12 - 18 years;10 - 12;https://m.media-amazon.com/images/I/31b6sehNzgL.jpg
0545139074;Wishful Thinking;Alexandra Bullen;14 years and up;9 - 12;https://m.media-amazon.com/images/I/41ou7VhQwgL.jpg
1501256130;Outage;Ellisa Barr;12 - 17 years;7 - 12;https://m.media-amazon.com/images/I/51Y2NTmXv-L.jpg
110193607X;Lost Crow Conspiracy;Rosalyn Eves;12 - 17 years;7 - 9;https://m.media-amazon.com/images/I/91i9Fk+PPcL.jpg
146768354X;The Revenge of Seven;Pittacus Lore;READINGAGE_MISSING_AZ;10 - 12;https://m.media-amazon.com/images/I/517Ips9xc-L.jpg
0545240778;Prom and Prejudice;Elizabeth Eulberg;12 - 18 years;7 - 12;https://m.media-amazon.com/images/I/51K4-52Z1pL.jpg
1416938478;The Comeback Season;Jennifer E. Smith;13 years and up;8 - 9;https://m.media-amazon.com/images/I/41E1e-tJwML.jpg
0064403688;Jacob Have I Loved;Katherine Paterson;READINGAGE_MISSING_AZ;8 - 9;https://m.media-amazon.com/images/I/718iwgPAJML.jpg
0823416852;Phoning a Dead Man;Gillian Cross;4 - 8 years;7 - 3;https://m.media-amazon.com/images/I/413FVHFYARL.jpg
1416900179;Black & White;Malorie Blackman;14 years and up;9 - 12;https://m.media-amazon.com/images/I/51FB8F1iLeL.jpg
0991345363;Elements;Jesikah Sundin;13 - 18 years;7 - 12;https://m.media-amazon.com/images/I/71jujrD16CL.jpg
0142301213;Eight Seconds;Jean Ferris;14 years and up;9 - 12;https://m.media-amazon.com/images/I/51c1QQWm5dL.jpg
0385739354;Like Mandarin;Kirsten Hubbard;14 years and up;9 - 12;https://m.media-amazon.com/images/I/41FvNOJoteL.jpg
0061214531;Finn's Going;Tom Kelly;READINGAGE_MISSING_AZ;4 - 6;https://m.media-amazon.com/images/I/41khIYwYcKL.jpg
0374404755;Bad: A Novel;Jean Ferris;14 years and up;9 and up;https://m.media-amazon.com/images/I/81YIu0gx6UL.jpg
0007244843;Cirque Du Freak;Darren Shan;9+ years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/515ZZNRV12L.jpg
0449133095;CURTAIN CALL-SATN SL#6;Elizabeth Bernard;10 - 18 years;10 - 12;https://m.media-amazon.com/images/I/71V4mD9kF0L.jpg
0395916828;Picturing Lincoln: Famous Photographs That Popularized the President;George Sullivan;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/41TojKCaXgL.jpg
1848409486;Prim Improper;Deirdre Sullivan;13 years and up;8 - 9;https://m.media-amazon.com/images/I/51GQ2iANnOL.jpg
1936111233;The 7 Habits of Highly Effective Teens Workbook;Sean Covey;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/91YlVPFxgaL.jpg
1434213730;The Stolen Superpowers;Martin Powell;8 - 12 years;3 - 6;https://m.media-amazon.com/images/I/510d1dyDreL.jpg
0399240063;Emako Blue;Brenda Woods;12 - 18 years;7 - 12;https://m.media-amazon.com/images/I/51QFiqyWo8L.jpg
0613444191;Stuck In Neutral;Terry Trueman;12 - 14 years;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/41d+k76JixL.jpg
1467993581;BaSatai: Outside In: Book 1;Suzan Battah;READINGAGE_MISSING_AZ;10 - 12;https://m.media-amazon.com/images/I/71svnOtw9uL.jpg
1250007836;Glow: Book One of the Sky Chasers;Amy Kathleen Ryan;12 - 18 years;7 - 9;https://m.media-amazon.com/images/I/71gMiN8ANnL.jpg
1416995099;The Blind Faith Hotel;Pamela Todd;12 years and up;7 - 9;https://m.media-amazon.com/images/I/61-xD8yhTtL.jpg
1856975924;Horror Stories;Susan Price;9 - 12 years;4 - 6;https://m.media-amazon.com/images/I/41IYEYny9LL.jpg
0738703915;Blue is for Nightmares;Laurie Faria Stolarz;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/71+8dxjI4kL.jpg
0385736630;The Cardturner;Louis Sachar;12 - 17 years;7 - 9;https://m.media-amazon.com/images/I/81p8UXVYyPL.jpg
0689835272;Tree By Leaf;Cynthia Voigt;9 - 12 years;7 - 9;https://m.media-amazon.com/images/I/51tQ-9mroSL.jpg
0590451669;David and Jonathan;Cynthia Voigt;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/41o-hd7y6oL.jpg
0142411957;Some of Tim's Stories;S. E. Hinton;12 years and up;7 - 9;https://m.media-amazon.com/images/I/91QKJeT5CBL.jpg
0689864809;Among the Betrayed;Margaret Peterson Haddix;9 - 12 years;4 - 6;https://m.media-amazon.com/images/I/517G2H0M7TL.jpg
1455847941;Lips Touch: Three Times;Laini Taylor;12 - 17 years;10 - 12;https://m.media-amazon.com/images/I/71Lq41Wm4mL.jpg
0892552492;A Walk in My World: International Short Stories About Youth;Anne Mazer;12 - 17 years;8 - 3;https://m.media-amazon.com/images/I/71yniNLsYgL.jpg
1620610000;Chosen Ones;Tiffany Truitt;12 - 18 years;9 - 12;https://m.media-amazon.com/images/I/81fQGt7apkL.jpg
1416538275;Uninvited;Justine Musk;14 years and up;9 - 12;https://m.media-amazon.com/images/I/71jyO0V8ChS.jpg
1400112354;Inner Circle;Kate Brian;14 - 17 years;9 - 12;https://m.media-amazon.com/images/I/51hJ0tVz+kL.jpg
1848125186;Wolfblood: Call of the Wild;Robert Rigby;9 - 12 years;4 - 7;https://m.media-amazon.com/images/I/91DOMgU0-7L.jpg
0689859074;Speeding;Kate Cann;16 years and up;10 - 12;https://m.media-amazon.com/images/I/41AGRGB2EXL.jpg
0545695732;When My Heart Was Wicked;Tricia Stirling;14 years and up;9 - 12;https://m.media-amazon.com/images/I/51IR5HTfAPL.jpg
0689859058;Hard Cash;Kate Cann;16 years and up;10 - 12;https://m.media-amazon.com/images/I/41BQKYD57JL.jpg
0060012218;Geography Club;Brent Hartinger;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/512ZGH6W4AL.jpg
1452109214;Under Shifting Glass;Nicky Singer;13 years and up;8 and up;https://m.media-amazon.com/images/I/51wVUiYfqIL.jpg
1620612429;The Collector;Victoria Scott;15 years and up;9 and up;https://m.media-amazon.com/images/I/81aSuC8rW6L.jpg
0606147586;The Fury;L. J. Smith;14 years and up;GRADE_MISSING_AZ;https://m.media-amazon.com/images/I/41E6NKaTucL.jpg
0060724633;The Princess Diaries, Volume IX: Princess Mia;Meg Cabot;13 - 15 years;8 - 9;https://m.media-amazon.com/images/I/51tlsWbr3tL.jpg
1558748156;Teen Love: On Friendship: A Book for Teenagers;Kimberly Kirberger;11 - 15 years;6 - 12;https://m.media-amazon.com/images/I/51EpQYKcb+L.jpg
0060263725;Tunes for a Small Harmonica: A Novel;Barbara Wersba;READINGAGE_MISSING_AZ;7 - 9;https://m.media-amazon.com/images/I/91hvTUURuAL.jpg
1582348529;Dumping Princes;Tyne O'Connell;12 - 17 years;7 - 9;https://m.media-amazon.com/images/I/510WWQRQ8KL.jpg
0765380048;Nightstruck;Jenna Black;12 - 18 years;7 - 9;https://m.media-amazon.com/images/I/81itH8rmNDL.jpg
1416979697;The Six Rules of Maybe;Deb Caletti;12 years and up;7 - 9;https://m.media-amazon.com/images/I/81cGJrxnRTL.jpg
1451696205;The Perks of Being a Wallflower;Stephen Chbosky;13+ years;10 - 12;https://m.media-amazon.com/images/I/41OtZf6GWOL.jpg
0385741758;Scarlett Dedd;Cathy Brett;12 - 18 years;7 - 12;https://m.media-amazon.com/images/I/516LecWzbuL.jpg
0618309551;The Fattening Hut;Pat Lowery Collins;12 years and up;7 - 12;https://m.media-amazon.com/images/I/51V2ZT7DDHL.jpg
0618194614;Alia Waking;Laura Williams McCaffrey;10 - 12 years;5 - 7;https://m.media-amazon.com/images/I/51Jp3VePeFL.jpg
